scaling,matrix_type,coefficient,mc_correction,file_paths,prop_sig
cbf-basil,modality,age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL_IDEMO/output/niftis/pvals/modality_adjusted/cbf-basil_age_bonferroni.nii.gz,0.8689273032348694
cbf-basil,modality,age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL_IDEMO/output/niftis/pvals/modality_adjusted/cbf-basil_age_fdr05.nii.gz,0.9755433722246069
cbf-basil,modality,age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL_IDEMO/output/niftis/pvals/modality_adjusted/cbf-basil_age_unadjusted.nii.gz,0.9756506809224645
cbf-basil,modality,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL_IDEMO/output/niftis/pvals/modality_adjusted/cbf-basil_sex_bonferroni.nii.gz,0.021744644320443283
cbf-basil,modality,sex,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL_IDEMO/output/niftis/pvals/modality_adjusted/cbf-basil_sex_fdr05.nii.gz,0.5767257189682756
cbf-basil,modality,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL_IDEMO/output/niftis/pvals/modality_adjusted/cbf-basil_sex_unadjusted.nii.gz,0.6458520310609903
cbf-basil,modality,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL_IDEMO/output/niftis/pvals/modality_adjusted/cbf-basil_sex-age_bonferroni.nii.gz,0
cbf-basil,modality,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL_IDEMO/output/niftis/pvals/modality_adjusted/cbf-basil_sex-age_fdr05.nii.gz,0
cbf-basil,modality,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL_IDEMO/output/niftis/pvals/modality_adjusted/cbf-basil_sex-age_unadjusted.nii.gz,0.028700199008857844
idemo,modality,age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL_IDEMO/output/niftis/pvals/modality_adjusted/idemo_age_bonferroni.nii.gz,0.02421274437117103
idemo,modality,age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL_IDEMO/output/niftis/pvals/modality_adjusted/idemo_age_fdr05.nii.gz,0.3102587115151988
idemo,modality,age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL_IDEMO/output/niftis/pvals/modality_adjusted/idemo_age_unadjusted.nii.gz,0.4133628594841378
idemo,modality,sex,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL_IDEMO/output/niftis/pvals/modality_adjusted/idemo_sex_bonferroni.nii.gz,0.002390057361376673
idemo,modality,sex,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL_IDEMO/output/niftis/pvals/modality_adjusted/idemo_sex_fdr05.nii.gz,0.13511140593904866
idemo,modality,sex,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL_IDEMO/output/niftis/pvals/modality_adjusted/idemo_sex_unadjusted.nii.gz,0.29874741483591527
idemo,modality,sex-age,bonferroni,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL_IDEMO/output/niftis/pvals/modality_adjusted/idemo_sex-age_bonferroni.nii.gz,2.926600850665314e-5
idemo,modality,sex-age,fdr05,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL_IDEMO/output/niftis/pvals/modality_adjusted/idemo_sex-age_fdr05.nii.gz,4.975221446131034e-4
idemo,modality,sex-age,unadjusted,/home/fengling/Documents/IMCo_analyses/ALFF_BASIL_IDEMO/output/niftis/pvals/modality_adjusted/idemo_sex-age_unadjusted.nii.gz,0.12177586139618371
